protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class
37.4,33.1,10.7,12.4,13.9,355.0,low
5.9,67.6,28.4,6.5,21.7,560.0,medium
25.4,42.7,23.4,4.4,12.0,446.0,medium
13.2,77.4,16.8,6.5,16.0,500.0,medium
29.4,50.4,41.0,4.4,13.9,689.0,medium
28.5,15.6,3.8,3.2,2.5,183.0,low
31.3,76.3,29.3,5.7,25.3,654.0,medium
28.6,48.7,23.8,11.7,6.1,514.0,medium
12.8,79.9,17.7,9.3,1.5,552.0,medium
9.0,35.5,15.2,6.2,20.8,321.0,low
19.4,20.8,21.6,3.2,12.2,341.0,low
18.2,50.0,18.5,3.7,12.3,406.0,medium
31.3,82.9,16.1,8.4,8.2,652.0,medium
18.9,56.4,24.9,7.9,10.6,472.0,medium
32.1,20.1,13.2,9.0,0.0,323.0,low
35.5,45.7,24.9,9.7,2.4,605.0,medium
26.6,42.1,24.3,9.0,1.9,511.0,medium
28.4,28.6,30.9,7.4,17.1,510.0,medium
19.1,93.9,26.1,3.4,30.7,658.0,medium
41.4,42.2,10.7,2.9,0.0,401.0,medium
25.5,15.2,24.6,0.8,15.6,362.0,low
38.6,42.8,19.7,8.7,14.2,432.0,medium
1.1,55.7,26.4,10.2,0.0,492.0,medium
38.5,64.7,32.0,7.5,21.6,720.0,high
16.0,64.3,35.6,3.9,19.8,643.0,medium
21.0,62.1,14.3,6.1,13.8,450.0,medium
52.2,50.3,28.9,13.2,5.4,668.0,medium
37.4,4.9,27.7,8.1,18.0,418.0,medium
24.4,75.8,0.0,5.4,16.1,366.0,low
25.5,28.9,12.8,7.2,7.8,311.0,low
23.8,26.0,23.0,7.4,22.6,383.0,low
38.1,77.5,15.3,5.0,21.6,601.0,medium
3.6,51.9,31.1,15.8,21.2,464.0,medium
37.4,31.3,26.5,8.2,9.4,515.0,medium
14.2,44.3,26.8,6.8,22.0,434.0,medium
25.4,76.3,16.4,6.9,17.8,549.0,medium
33.7,45.2,31.9,8.2,40.0,630.0,medium
26.8,78.6,15.2,4.8,18.6,591.0,medium
15.8,77.8,34.3,8.1,10.4,650.0,medium
23.1,24.9,15.8,11.9,10.8,350.0,low
27.9,45.1,24.4,6.7,0.0,598.0,medium
28.1,64.1,12.3,4.6,11.2,491.0,medium
24.7,51.5,40.0,16.5,20.3,666.0,medium
13.5,14.6,12.8,3.3,25.8,222.0,low
19.2,60.7,34.6,4.5,15.5,623.0,medium
16.8,78.3,21.7,7.1,11.3,600.0,medium
28.2,52.6,14.1,12.0,11.4,450.0,medium
43.2,53.1,14.9,7.1,19.1,498.0,medium
38.9,60.6,29.4,13.3,15.9,616.0,medium
10.9,52.8,30.9,11.9,21.6,514.0,medium
12.6,47.5,10.6,2.9,3.5,365.0,low
35.5,44.0,27.5,10.9,26.7,531.0,medium
32.0,35.3,23.6,3.3,16.5,471.0,medium
25.2,45.8,13.1,7.1,7.0,402.0,medium
24.8,44.9,21.9,10.3,19.0,434.0,medium
17.1,48.0,33.5,9.7,0.0,578.0,medium
31.5,50.0,25.5,6.5,11.7,533.0,medium
40.3,53.5,5.7,8.1,16.5,430.0,medium
18.8,56.1,26.9,0.0,19.1,571.0,medium
8.7,72.4,15.5,7.6,38.3,505.0,medium
10.9,23.6,8.2,5.0,27.5,178.0,low
27.1,35.0,13.2,10.3,21.4,431.0,medium
34.8,53.1,17.2,10.7,16.6,530.0,medium
35.6,29.3,16.0,0.0,2.0,401.0,medium
38.2,31.1,16.0,4.2,2.1,425.0,medium
34.5,52.3,17.2,8.7,21.6,528.0,medium
34.5,42.3,19.2,8.1,16.4,450.0,medium
26.5,70.5,20.8,2.8,23.5,609.0,medium
25.1,64.0,27.5,11.7,12.3,620.0,medium
27.1,51.9,11.5,10.6,27.2,423.0,medium
16.9,49.4,15.8,10.4,15.9,435.0,medium
5.7,54.7,30.1,1.2,4.4,490.0,medium
31.5,35.7,13.8,3.5,9.7,410.0,medium
16.4,66.9,23.4,8.0,8.3,523.0,medium
30.2,48.5,25.0,7.9,15.9,590.0,medium
22.7,5.1,18.2,0.1,14.9,305.0,low
24.4,10.3,29.7,10.7,22.6,429.0,medium
24.7,49.4,12.6,2.2,2.7,383.0,low
12.4,49.2,14.2,5.3,10.0,463.0,medium
24.5,16.7,14.0,4.3,10.8,288.0,low
37.9,79.9,11.9,4.8,12.4,547.0,medium
22.0,70.7,11.4,12.2,11.7,476.0,medium
24.1,59.2,6.6,7.5,15.3,445.0,medium
24.0,19.1,17.2,14.3,1.9,305.0,low
22.8,16.9,20.9,10.7,18.6,307.0,low
18.8,5.6,24.6,0.1,7.1,308.0,low
29.5,51.2,19.7,6.6,19.1,510.0,medium
31.5,62.3,31.4,7.3,25.1,631.0,medium
2.8,45.0,9.8,3.4,23.2,302.0,low
31.3,47.9,14.3,6.3,10.9,451.0,medium
42.1,29.4,21.1,4.6,0.0,440.0,medium
24.0,15.8,19.9,9.0,22.9,362.0,low
20.2,72.8,22.5,10.8,0.9,616.0,medium
36.8,38.6,23.5,2.3,20.1,486.0,medium
14.7,34.3,19.0,5.3,11.4,320.0,low
26.9,27.2,26.4,9.2,2.7,431.0,medium
19.5,47.8,18.4,13.5,23.7,429.0,medium
18.3,83.9,1.4,10.7,28.0,438.0,medium
50.6,31.9,21.4,11.4,28.5,504.0,medium
5.9,56.0,15.0,7.6,17.4,399.0,low
36.6,55.2,19.0,10.5,16.6,565.0,medium
25.3,60.7,21.7,14.3,8.2,563.0,medium
23.6,57.0,21.9,6.5,4.3,547.0,medium
26.7,49.1,24.1,4.4,32.0,482.0,medium
36.7,99.2,17.5,5.8,11.1,690.0,medium
20.8,53.2,15.6,15.7,5.7,411.0,medium
38.9,53.0,18.1,7.2,3.9,563.0,medium
27.8,37.9,15.3,14.8,6.4,426.0,medium
35.8,85.0,29.3,3.7,23.4,745.0,high
49.3,71.2,14.8,1.8,17.2,588.0,medium
10.6,47.8,15.0,10.1,15.8,412.0,medium
41.0,27.5,22.2,13.1,9.9,461.0,medium
23.4,91.6,10.2,12.1,27.4,557.0,medium
29.0,46.7,14.2,13.8,7.6,438.0,medium
27.4,58.3,21.5,8.6,9.3,527.0,medium
18.5,46.8,7.0,6.6,6.8,333.0,low
33.4,63.7,34.6,9.2,12.8,704.0,high
17.2,48.9,11.1,6.0,27.7,333.0,low
32.1,24.6,29.7,9.3,20.7,500.0,medium
18.9,82.7,28.4,5.5,13.8,646.0,medium
26.7,38.0,22.5,10.3,7.7,448.0,medium
29.6,48.6,13.5,7.7,15.0,393.0,low
27.6,30.9,7.9,8.2,13.3,310.0,low
8.9,62.6,25.4,2.3,15.7,522.0,medium
21.9,54.1,27.1,17.0,15.6,547.0,medium
10.2,10.4,14.6,9.1,15.5,189.0,low
19.6,38.5,12.4,0.0,27.1,305.0,low
22.1,108.9,12.9,8.5,6.3,668.0,medium
32.8,33.2,19.4,5.7,21.1,454.0,medium
48.2,68.2,35.1,7.3,22.1,815.0,high
20.3,108.7,30.2,9.2,15.1,756.0,high
15.1,87.8,19.4,7.8,9.9,573.0,medium
12.2,52.8,23.5,10.5,19.8,444.0,medium
35.5,43.1,27.8,4.8,16.7,603.0,medium
11.6,45.3,31.5,7.9,21.6,454.0,medium
24.4,31.9,20.3,8.1,13.8,379.0,low
24.8,17.4,24.0,4.7,21.5,322.0,low
26.8,69.7,20.0,8.5,6.0,591.0,medium
24.6,28.5,19.9,8.9,16.3,402.0,medium
26.5,40.7,24.6,8.6,24.7,452.0,medium
19.6,20.4,6.3,8.5,5.8,208.0,low
27.0,61.0,28.7,5.6,4.8,540.0,medium
18.1,36.9,19.7,10.8,5.4,423.0,medium
18.3,69.5,31.6,15.0,0.0,640.0,medium
23.8,46.6,17.9,1.2,0.0,462.0,medium
15.8,49.1,22.6,12.3,25.6,471.0,medium
31.8,69.2,13.4,7.7,24.0,469.0,medium
21.3,59.4,25.4,8.1,11.9,527.0,medium
29.3,71.7,15.2,18.4,19.5,540.0,medium
12.6,51.1,21.7,8.6,15.9,482.0,medium
18.5,52.7,18.1,1.8,12.5,433.0,medium
27.7,76.0,26.3,4.9,10.8,691.0,medium
26.0,40.1,33.5,12.4,7.0,525.0,medium
13.0,58.3,22.3,11.2,11.3,500.0,medium
24.2,59.7,22.2,9.8,11.1,599.0,medium
23.9,41.9,16.2,7.5,22.2,452.0,medium
18.1,60.6,17.4,10.9,0.0,519.0,medium
50.9,54.0,27.9,8.8,15.4,709.0,high
14.7,52.8,26.6,7.4,11.9,526.0,medium
12.9,67.6,31.5,7.7,13.3,611.0,medium
21.1,34.3,21.1,11.2,18.2,416.0,medium
22.1,27.4,22.4,6.4,6.7,375.0,low
25.2,5.8,16.5,13.5,26.6,278.0,low
15.6,40.4,20.5,4.5,1.3,413.0,medium
26.1,63.8,11.3,9.2,8.6,430.0,medium
37.5,99.9,26.2,6.1,34.0,811.0,high
23.5,54.9,42.6,8.3,8.3,690.0,medium
28.8,55.0,26.1,3.2,22.8,596.0,medium
37.7,40.0,26.4,8.0,21.9,572.0,medium
27.0,44.2,19.0,8.2,9.5,489.0,medium
7.2,62.3,28.2,8.5,18.3,548.0,medium
6.3,58.3,12.1,3.6,26.0,385.0,low
25.2,45.6,27.2,6.9,5.5,523.0,medium
27.9,36.9,21.4,8.8,18.4,458.0,medium
22.9,72.0,6.5,7.1,21.8,454.0,medium
21.7,13.7,23.6,6.8,19.5,328.0,low
34.0,51.6,1.2,5.5,26.1,368.0,low
12.5,38.2,19.9,11.2,0.0,402.0,medium
15.3,64.1,10.3,7.9,17.4,393.0,low
10.8,48.4,13.8,2.8,17.3,386.0,low
43.8,34.1,34.8,7.8,22.7,590.0,medium
10.2,52.7,29.9,9.9,26.1,496.0,medium
24.7,38.4,35.0,8.5,21.8,587.0,medium
29.7,25.1,30.3,5.6,17.3,470.0,medium
10.5,44.5,27.1,7.0,2.7,448.0,medium
28.7,32.1,24.4,3.9,8.9,451.0,medium
20.9,56.6,13.5,5.0,26.4,398.0,low
30.1,64.3,23.8,7.9,12.0,635.0,medium
22.0,33.7,21.0,4.6,4.1,401.0,medium
35.4,72.5,22.7,8.7,15.0,677.0,medium
26.1,25.3,31.8,3.0,28.8,489.0,medium
54.9,18.3,15.8,10.9,17.7,445.0,medium
28.7,78.2,29.5,11.0,11.1,706.0,high
19.5,38.4,19.0,6.3,15.3,400.0,low
25.9,37.5,29.0,9.8,0.4,547.0,medium
33.6,36.4,8.4,5.1,3.3,358.0,low
39.1,85.9,19.7,9.3,0.1,684.0,medium
22.4,32.5,21.6,7.2,9.7,439.0,medium
5.2,44.3,24.8,0.0,0.0,454.0,medium
22.9,38.2,15.2,5.4,13.0,364.0,low
21.7,53.0,37.4,5.5,8.2,649.0,medium
11.4,40.6,20.2,5.5,17.6,431.0,medium
25.9,55.4,12.3,15.3,2.8,442.0,medium
26.5,44.8,26.0,4.5,6.6,485.0,medium
32.1,22.5,22.3,8.6,22.4,439.0,medium
27.6,28.5,19.4,10.4,27.5,471.0,medium
25.7,26.4,20.1,6.6,15.0,342.0,low
31.2,39.9,6.9,11.0,12.6,352.0,low
40.2,42.3,9.1,12.2,7.8,345.0,low
25.4,63.2,12.1,11.1,0.0,484.0,medium
23.4,73.2,13.1,7.1,30.9,519.0,medium
17.9,54.6,23.0,9.3,5.5,525.0,medium
13.5,29.4,22.0,8.4,33.7,378.0,low
18.9,63.8,21.8,9.0,13.0,575.0,medium
33.1,16.0,36.4,8.1,7.4,520.0,medium
20.5,38.1,11.1,15.0,15.6,330.0,low
36.2,38.9,22.0,4.1,30.0,422.0,medium
25.3,32.7,13.6,14.5,9.5,384.0,low
15.6,13.2,12.6,4.1,21.9,252.0,low
27.3,54.4,34.9,17.6,15.4,657.0,medium
18.7,69.6,9.3,13.3,20.3,423.0,medium
19.5,31.6,22.0,5.4,19.0,425.0,medium
31.2,24.0,17.8,7.8,0.0,440.0,medium
32.1,84.9,13.2,4.6,5.0,595.0,medium
21.0,30.2,23.3,8.5,7.5,355.0,low
6.4,60.7,18.8,9.7,0.0,448.0,medium
34.9,40.3,40.2,4.7,2.7,685.0,medium
25.8,26.0,24.2,11.5,26.8,415.0,medium
26.3,64.5,24.0,4.4,12.4,561.0,medium
22.9,58.1,17.8,8.7,8.2,511.0,medium
23.0,13.7,20.4,6.7,15.6,343.0,low
16.5,62.0,7.9,11.8,0.0,377.0,low
32.9,54.4,24.0,2.0,26.2,610.0,medium
36.4,56.0,16.4,12.2,14.3,495.0,medium
12.4,74.9,21.4,11.0,15.0,526.0,medium
25.9,69.9,29.3,5.8,27.2,646.0,medium
25.2,47.9,21.4,14.4,15.0,517.0,medium
17.4,66.8,17.3,11.6,8.8,511.0,medium
40.2,32.1,17.1,6.0,3.1,441.0,medium
27.2,3.9,15.4,4.0,16.7,287.0,low
33.5,58.8,34.5,8.3,20.4,677.0,medium
33.3,43.2,10.7,8.7,22.2,427.0,medium
23.3,44.8,13.9,11.3,36.9,406.0,medium
20.1,37.9,11.3,9.5,33.0,349.0,low
20.5,37.3,13.3,3.8,11.1,319.0,low
35.6,31.7,14.8,2.6,0.7,394.0,low
32.0,45.7,28.7,9.4,18.8,584.0,medium
10.2,44.0,18.3,5.6,25.1,366.0,low
35.1,43.5,27.0,10.2,0.0,562.0,medium
23.2,34.6,16.8,11.4,26.9,357.0,low
11.5,20.4,5.0,8.2,19.2,174.0,low
29.3,30.1,18.3,10.9,12.4,436.0,medium
17.7,84.8,19.0,5.3,1.7,581.0,medium
25.5,36.8,7.6,0.0,3.5,370.0,low
32.4,58.8,18.4,5.1,16.9,563.0,medium
27.9,60.2,16.5,12.4,3.2,513.0,medium
37.4,36.0,14.4,3.3,10.7,440.0,medium
33.2,80.3,29.6,10.2,15.5,725.0,high
28.5,37.4,23.6,5.6,12.2,445.0,medium
23.5,57.9,32.0,7.9,15.2,616.0,medium
32.5,19.9,36.9,8.8,0.0,509.0,medium
5.9,36.0,25.5,17.6,15.7,327.0,low
18.2,73.9,18.8,2.3,26.0,575.0,medium
29.2,46.8,20.0,5.6,17.3,493.0,medium
36.9,63.9,5.2,1.7,1.7,490.0,medium
28.5,35.6,18.4,10.1,36.4,382.0,low
18.3,57.2,19.9,14.5,3.6,507.0,medium
20.5,41.9,29.8,10.6,1.8,513.0,medium
30.5,11.3,15.1,9.6,21.3,231.0,low
25.5,43.8,14.1,6.4,23.4,462.0,medium
6.8,41.9,22.1,3.2,20.8,415.0,medium
32.2,61.9,18.0,15.5,13.4,540.0,medium
28.9,49.0,16.8,8.7,6.8,477.0,medium
23.0,42.3,24.0,4.6,17.2,515.0,medium
23.3,71.3,34.9,10.1,14.5,718.0,high
19.5,54.5,28.8,13.6,0.0,541.0,medium
32.8,71.5,22.0,5.5,7.6,648.0,medium
18.0,51.6,17.9,12.8,15.0,508.0,medium
35.0,90.9,24.5,7.1,13.5,709.0,high
21.3,39.1,22.0,10.1,7.1,459.0,medium
19.4,46.7,32.6,7.1,35.1,565.0,medium
36.3,33.9,2.2,6.6,12.5,303.0,low
22.3,78.0,11.1,3.6,15.6,494.0,medium
21.6,66.5,17.7,5.9,15.1,519.0,medium
14.8,62.1,13.2,8.3,0.0,417.0,medium
33.6,49.8,28.9,16.8,0.0,630.0,medium
9.0,53.2,23.6,9.9,3.9,466.0,medium
29.0,31.2,31.4,11.1,25.1,542.0,medium
39.2,48.2,33.7,10.1,33.2,621.0,medium
22.0,14.9,27.0,9.4,16.7,368.0,low
27.0,67.4,11.4,5.4,19.3,481.0,medium
28.0,56.5,16.9,6.4,0.0,472.0,medium
0.0,29.5,31.0,2.2,8.2,415.0,medium
29.0,54.0,15.6,15.4,9.8,455.0,medium
17.3,47.2,18.8,6.7,14.1,422.0,medium
20.4,39.7,28.9,5.9,13.2,485.0,medium
40.4,45.6,11.1,10.1,21.8,432.0,medium
39.4,40.0,28.0,8.3,22.7,547.0,medium
25.3,40.8,20.6,5.6,10.1,441.0,medium
34.9,44.1,24.6,7.5,12.0,478.0,medium
46.6,32.0,14.4,7.4,19.8,412.0,medium
33.5,80.7,15.4,11.5,9.0,577.0,medium
38.3,92.1,9.9,10.3,12.2,588.0,medium
10.6,34.4,13.5,5.9,24.2,317.0,low
28.9,49.4,19.2,0.0,12.8,481.0,medium
15.2,38.1,27.9,14.8,3.1,440.0,medium
32.1,71.5,12.4,9.3,5.1,488.0,medium
24.7,46.3,19.0,8.7,0.5,442.0,medium
26.5,45.9,19.1,14.1,5.5,447.0,medium
28.9,63.3,16.9,9.7,28.9,553.0,medium
16.4,41.1,21.8,0.2,21.5,447.0,medium
37.7,41.8,25.5,11.7,18.5,479.0,medium
29.1,29.5,25.7,11.0,7.4,451.0,medium
22.5,82.7,10.6,7.3,15.3,529.0,medium
30.4,46.8,19.6,6.6,9.4,465.0,medium
26.8,20.0,22.3,12.0,4.5,413.0,medium
16.8,56.7,17.9,13.8,0.0,453.0,medium
22.6,54.4,24.0,9.5,11.7,510.0,medium
22.4,49.1,17.5,10.0,10.1,444.0,medium
28.0,71.5,35.4,4.0,17.2,746.0,high
7.3,34.3,11.4,10.5,10.1,307.0,low
31.6,76.9,17.1,5.4,18.7,613.0,medium
15.7,62.3,15.5,11.2,28.7,427.0,medium
19.2,44.4,15.4,7.6,34.4,368.0,low
16.3,58.0,28.9,3.2,17.5,484.0,medium
35.0,46.4,6.8,8.2,28.3,361.0,low
44.0,50.6,25.0,4.7,18.5,540.0,medium
32.8,47.6,26.6,13.5,27.9,537.0,medium
14.9,33.2,7.3,14.8,8.8,244.0,low
34.8,34.6,21.6,0.0,20.6,485.0,medium
15.3,44.3,21.3,8.5,11.0,417.0,medium
40.7,51.4,12.1,12.5,24.9,555.0,medium
27.1,57.6,9.4,3.9,10.5,387.0,low
21.9,69.5,14.8,5.1,8.9,487.0,medium
26.1,29.3,35.1,13.0,21.6,559.0,medium
21.1,52.1,22.9,10.8,13.2,478.0,medium
33.5,40.5,19.4,15.5,13.3,472.0,medium
27.3,55.1,30.4,7.1,39.1,582.0,medium
14.0,14.6,31.7,7.2,18.0,378.0,low
24.4,11.9,21.6,11.0,11.9,379.0,low
31.0,42.4,19.9,7.7,13.1,446.0,medium
20.4,57.8,25.2,8.6,0.0,489.0,medium
31.4,33.7,0.0,2.3,10.1,249.0,low
23.2,112.4,23.6,9.1,27.7,725.0,high
29.8,60.0,19.0,7.9,19.0,562.0,medium
28.7,65.9,32.5,5.2,26.6,707.0,high
19.8,63.9,18.1,2.7,6.1,509.0,medium
40.0,64.3,27.3,0.0,25.6,662.0,medium
29.2,86.1,17.2,7.9,24.8,612.0,medium
29.7,60.2,12.5,14.7,10.6,460.0,medium
32.3,30.4,21.1,7.7,9.3,431.0,medium
32.5,66.3,11.0,16.4,1.8,497.0,medium
20.9,31.5,33.5,5.1,4.1,527.0,medium
37.0,50.6,38.4,15.7,35.2,737.0,high
29.6,32.9,19.2,16.9,0.8,449.0,medium
23.3,35.9,20.0,5.2,2.3,419.0,medium
19.8,17.6,25.3,6.9,12.4,383.0,low
29.9,56.7,17.5,7.0,20.2,508.0,medium
0.0,50.4,39.5,4.9,19.5,518.0,medium
21.4,51.4,15.9,11.1,16.0,446.0,medium
35.3,71.9,19.5,17.8,27.5,607.0,medium
25.3,60.2,20.3,5.0,8.4,519.0,medium
29.1,64.2,7.6,16.1,11.2,390.0,low
25.2,32.5,29.4,2.5,10.5,479.0,medium
32.4,71.2,17.4,8.3,7.3,560.0,medium
24.9,24.1,22.7,9.4,14.3,362.0,low
14.5,56.6,18.7,7.3,16.2,444.0,medium
34.3,47.9,12.3,5.6,14.1,431.0,medium
35.7,44.0,10.6,8.6,26.0,436.0,medium
27.2,81.9,37.3,0.0,31.1,778.0,high
30.5,65.6,15.7,10.7,19.1,531.0,medium
26.9,42.3,18.5,13.9,3.4,452.0,medium
23.0,54.4,13.1,13.7,13.8,437.0,medium
22.1,11.9,23.2,15.0,25.8,374.0,low
7.0,41.7,31.5,10.9,18.4,469.0,medium
33.7,92.2,22.1,10.8,35.2,739.0,high
30.0,27.8,29.5,11.3,8.4,457.0,medium
33.0,14.5,13.5,8.6,9.7,307.0,low
41.3,29.7,17.0,6.4,10.8,496.0,medium
21.1,39.4,24.5,0.8,16.8,478.0,medium
21.7,49.7,15.8,3.6,0.0,400.0,medium
7.0,71.4,11.2,9.0,7.6,509.0,medium
19.7,31.8,26.1,9.8,13.6,474.0,medium
28.1,90.8,23.7,7.2,0.0,644.0,medium
11.4,69.8,26.4,5.3,9.7,519.0,medium
25.5,32.6,21.3,14.7,30.1,404.0,medium
48.1,52.9,26.6,3.2,0.8,669.0,medium
27.1,68.0,26.0,6.6,20.8,594.0,medium
26.2,40.9,32.0,7.6,28.4,591.0,medium
34.8,30.9,23.4,12.8,10.0,437.0,medium
35.5,22.9,11.0,9.5,7.8,348.0,low
31.4,25.7,29.4,6.9,26.6,522.0,medium
28.8,56.5,16.1,9.5,23.7,506.0,medium
27.8,70.8,31.1,12.9,9.3,685.0,medium
23.7,89.8,15.6,2.8,20.9,584.0,medium
20.8,27.5,19.2,6.4,22.6,366.0,low
23.1,73.0,12.1,19.1,17.5,509.0,medium
11.7,45.0,18.6,8.3,28.9,389.0,low
19.2,69.0,34.9,9.5,9.6,681.0,medium
34.3,64.1,32.3,7.7,4.0,688.0,medium
12.4,67.2,15.9,1.0,0.0,470.0,medium
12.8,59.9,39.5,3.1,15.2,658.0,medium
28.9,64.6,21.2,13.7,20.1,547.0,medium
23.1,69.5,35.9,5.2,0.0,611.0,medium
16.9,14.1,14.2,16.7,13.4,234.0,low
32.0,75.6,17.5,9.7,0.0,618.0,medium
30.6,49.2,6.3,9.7,30.6,394.0,low
34.6,20.4,37.2,17.4,17.7,532.0,medium
44.1,38.4,32.3,12.3,26.3,587.0,medium
24.2,41.7,25.1,3.5,13.7,484.0,medium
17.2,53.1,26.8,19.1,30.4,524.0,medium
29.5,50.9,19.7,12.0,14.3,484.0,medium
28.1,41.4,27.9,7.2,19.6,543.0,medium
26.4,72.8,17.0,0.8,30.0,563.0,medium
11.7,62.2,5.4,2.6,8.1,350.0,low
20.8,39.4,14.4,3.7,10.1,422.0,medium
37.6,48.1,20.3,8.1,16.0,502.0,medium
28.8,62.5,11.5,6.9,0.0,480.0,medium
23.4,62.9,17.1,1.6,31.6,484.0,medium
32.5,38.5,9.7,11.7,16.5,419.0,medium
31.2,52.5,17.4,9.6,16.6,430.0,medium
30.5,36.4,20.9,8.5,20.9,427.0,medium
37.7,55.5,11.8,0.3,15.8,482.0,medium
30.8,73.3,14.6,3.5,12.7,525.0,medium
9.0,61.8,28.6,10.9,29.6,482.0,medium
16.4,54.9,13.3,6.5,12.6,448.0,medium
20.2,69.9,30.9,12.0,11.1,612.0,medium
19.2,8.5,25.9,5.9,20.1,312.0,low
19.5,43.2,11.5,12.9,16.1,345.0,low
15.8,56.2,9.1,7.7,3.7,402.0,medium
10.8,68.9,28.2,6.0,23.5,572.0,medium
23.6,25.0,23.8,0.4,28.1,409.0,medium
11.5,59.3,16.2,6.8,0.0,391.0,low
41.4,77.4,15.4,7.8,8.6,610.0,medium
12.4,30.7,15.5,9.4,14.9,344.0,low
24.9,39.2,13.8,5.5,2.4,425.0,medium
22.2,77.2,15.2,6.8,6.3,508.0,medium
19.8,45.2,24.1,9.8,12.2,500.0,medium
24.9,60.1,29.4,7.6,17.5,612.0,medium
21.8,63.9,32.9,8.4,32.0,633.0,medium
28.3,71.0,23.0,11.2,12.3,589.0,medium
19.8,54.4,17.1,5.7,22.9,439.0,medium
15.4,33.2,4.8,12.5,7.9,304.0,low
17.8,20.4,23.4,14.1,19.1,409.0,medium
30.3,49.8,25.5,3.0,16.7,604.0,medium
19.2,42.5,14.7,7.2,6.5,380.0,low
56.1,35.9,30.5,9.5,24.7,628.0,medium
19.8,49.5,15.5,9.3,27.7,430.0,medium
25.0,58.4,30.8,9.3,17.1,614.0,medium
30.0,49.3,17.6,13.3,34.4,463.0,medium
9.8,72.3,7.0,9.7,6.3,395.0,low
24.6,70.6,26.9,8.8,14.3,649.0,medium
22.4,40.8,15.0,4.0,21.5,380.0,low
22.1,79.9,19.3,7.2,26.0,567.0,medium
26.8,22.3,15.6,9.4,15.3,323.0,low
17.1,72.8,26.4,7.1,24.7,600.0,medium
26.5,57.6,26.8,11.8,17.3,598.0,medium
32.0,21.6,37.1,6.2,22.0,507.0,medium
25.2,44.8,27.3,0.3,2.7,489.0,medium
25.9,43.0,8.3,8.2,13.4,367.0,low
35.2,48.7,18.1,10.1,24.6,472.0,medium
19.3,14.0,13.8,9.3,8.5,253.0,low
30.8,56.0,9.5,8.3,5.0,412.0,medium
30.4,22.9,32.4,9.7,10.7,511.0,medium
30.3,55.3,8.0,10.3,15.7,393.0,low
34.5,15.7,26.2,0.4,1.1,477.0,medium
25.6,31.2,28.9,4.4,11.9,483.0,medium
11.4,46.5,13.3,13.5,17.2,384.0,low
